Pitch (deg), Roll(deg), Bearing (deg from N), X rate (deg/s), Y rate (deg/s), Z rate (deg/s)
-3.6979, 0.0632, 41.1705, 0.046, 0.092, -0.130
-3.6662, -0.0666, 42.8791, 0.084, 0.137, -0.160
-3.6433, 0.1371, 41.2147, 0.076, 0.031, -0.046
-3.6152, 0.0210, 42.4613, 0.000, 0.168, -0.084
-3.7239, 0.0175, 41.5170, -0.023, 0.160, -0.107
-3.6823, -0.0561, 41.5170, -0.031, 0.168, -0.061
-3.6811, 0.0000, 40.9393, 0.015, 0.069, -0.122
-3.6950, 0.0528, 43.1189, -0.084, 0.076, -0.252
-3.7239, 0.1055, 41.8960, -0.015, 0.130, -0.008
-3.7392, 0.0176, 41.2365, 0.038, 0.092, -0.237
-3.7199, -0.0772, 40.9850, -0.031, 0.076, -0.023
-3.7161, 0.0140, 42.8668, 0.053, 0.069, -0.023
-3.6432, -0.0527, 42.8668, -0.023, 0.160, -0.237
-3.6898, -0.0316, 42.5630, -0.038, 0.099, -0.145
-3.7123, -0.0070, 42.8912, -0.023, 0.000, -0.092
-3.5241, -0.0562, 43.5028, -0.084, 0.069, -0.053
-3.7321, -0.0491, 42.1496, -0.031, 0.099, -0.137
-3.7515, -0.0175, 42.8543, 0.137, 0.061, -0.023
-3.6476, 0.1261, 42.8543, -0.008, 0.069, -0.122
-3.6500, 0.0035, 40.8446, -0.015, 0.137, 0.031
-3.6654, 0.0421, 42.8418, -0.092, 0.214, -0.038
-3.8855, 0.1689, 43.4758, 0.175, 0.008, 0.755
-3.6990, 0.0560, 42.5347, -0.107, -0.191, 0.061
-3.6668, -0.1264, 40.7708, -0.008, 0.206, -0.145
-3.5683, -0.1436, 41.8960, -0.031, 0.031, 0.076
-3.7341, 0.0105, 41.8960, 0.046, 0.069, -0.061
-3.5591, -0.1613, 41.0790, 0.092, 0.000, -0.046
-3.7994, 0.0457, 44.1749, 0.107, -0.038, 0.366
-3.4796, 0.0070, 41.5963, -0.114, 0.252, -0.168
-3.4968, 0.1579, 43.4849, 0.175, 0.191, -0.267
-3.6860, 0.0667, 42.1663, 0.130, 0.175, -0.107
-3.6052, -0.0211, 41.1927, -0.122, 0.374, -0.015
-3.8236, -0.0700, 41.1927, -0.046, -0.267, -0.114
-3.6067, 0.0211, 42.4613, -0.137, 0.259, -0.275
-3.7596, -0.0035, 41.5170, 0.000, 0.008, -0.076
-3.5990, 0.0315, 41.8415, -0.008, -0.053, -0.267
-3.6558, -0.0281, 43.1524, -0.015, 0.183, 0.023
-3.6439, -0.0454, 43.4574, -0.114, -0.206, -0.679
-3.5567, 0.2309, 41.5963, -0.626, 0.122, -0.603
-4.0036, 0.3339, 41.5963, 0.877, 0.710, 1.534
-3.3654, -0.0173, 41.1705, 0.153, 0.137, -1.389
-3.6627, -0.0175, 42.2470, 0.244, 0.137, 1.076
